,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-26 00:00:00,1,1,74,0,0,17,-0.9618610673178212,-1.010422271022568,-1.010422271022568,-1.0041170236823982
2019-08-26 01:00:00,1,1,66,0,0,80,-0.9678378308507131,-1.010422271022568,-1.010422271022568,-0.9570167222674069
2019-08-26 02:00:00,1,1,20,0,0,196,-1.0022042211648416,-1.010422271022568,-1.010422271022568,-0.8706686271850389
2019-08-26 03:00:00,1,1,10,0,0,341,-1.0096751755809565,-1.010422271022568,-1.010422271022568,-0.7616568955267722
2019-08-26 04:00:00,1,1,15,0,0,522,-1.0059396983728992,-1.010422271022568,-1.010422271022568,-0.627121443557825
2019-08-26 05:00:00,1,1,30,0,0,828,-0.9947332667487268,-1.010422271022568,-1.010422271022568,-0.39840892679028306
2019-08-26 06:00:00,1,1,111,142,44,1439,-0.9342185359781959,-0.910862727890693,-0.9842702346332801,0.05859899505713018
2019-08-26 07:00:00,1,1,383,741,1132,2540,-0.7310085758598699,-0.4632478347954688,-0.17134221793935706,0.8809820879354802
2019-08-26 08:00:00,1,1,844,1836,732,2147,-0.38659757727697186,0.35452525051295536,-0.47012436936141244,0.5869871494982352
2019-08-26 09:00:00,1,1,935,1439,867,2287,-0.31861189209032603,0.05815848953412037,-0.36925416011126444,0.6919392459363252
2019-08-26 10:00:00,1,1,1348,1577,1236,2659,-0.01006147470477959,0.1611388665180364,-0.09351581620596144,0.9699294407311176
2019-08-26 11:00:00,1,1,1877,1947,2536,3960,0.3851520139077,0.43811521155219574,0.8776029386078348,1.9414781253424953
2019-08-26 12:00:00,1,1,3217,3248,2507,3932,1.3862599056671001,1.4094931172345468,0.8564661021199873,1.920433476508237
2019-08-26 13:00:00,1,1,3434,3219,1841,3265,1.548379616496794,1.3884189561746543,0.35858537525147904,1.4225749278141566
2019-08-26 14:00:00,1,1,2760,2553,1806,3231,1.0448372888506479,0.8905135297032911,0.3325215915353066,1.3967250606958812
2019-08-26 15:00:00,1,1,2700,2518,2080,3504,1.0000115623539583,0.8645576725314504,0.5369789336297761,1.6013885309877662
2019-08-26 16:00:00,1,1,2856,2792,2933,4357,1.1165584512453512,1.0691489090450828,1.1741607038648096,2.2386060288114327
2019-08-26 17:00:00,1,1,2980,3645,2033,3458,1.2091982860051762,1.706362789917769,0.5022163658173278,1.5666542059409112
2019-08-26 18:00:00,1,1,2316,2746,1076,2501,0.7131269127751452,1.0344183330290158,-0.21278974482303042,0.8516340776952196
2019-08-26 19:00:00,1,1,1340,1788,604,2029,-0.01603823823767153,0.31937734322820704,-0.5656372293394292,0.49886740044359396
2019-08-26 20:00:00,1,1,724,1316,180,1605,-0.4762490302703509,-0.033434842554974545,-0.8822948373866384,0.18231690256971844
2019-08-26 21:00:00,1,1,479,892,0,1202,-0.6592874134651666,-0.3500298170564648,-1.010422271022568,-0.11856603342601002
2019-08-26 22:00:00,1,1,246,490,0,848,-0.8333606513606444,-0.6509331186425606,-1.010422271022568,-0.3832511695948322
2019-08-26 23:00:00,1,1,130,135,0,676,-0.9200237225875776,-0.9156253342425514,-1.010422271022568,-0.5115251822043073
2019-08-27 00:00:00,1,1,48,0,0,620,-0.98128554879972,-1.010422271022568,-1.010422271022568,-0.5538050341607064
2019-08-27 01:00:00,1,1,32,0,0,584,-0.9932390758655039,-1.010422271022568,-1.010422271022568,-0.5808018354754406
2019-08-27 02:00:00,1,1,15,0,0,580,-1.0059396983728992,-1.010422271022568,-1.010422271022568,-0.5835032092899822
2019-08-27 03:00:00,1,1,11,0,0,575,-1.0089280801393452,-1.010422271022568,-1.010422271022568,-0.5870262677296789
2019-08-27 04:00:00,1,1,10,0,0,658,-1.0096751755809565,-1.010422271022568,-1.010422271022568,-0.5255340407449173
2019-08-27 05:00:00,1,1,31,0,0,997,-0.9939861713071153,-1.010422271022568,-1.010422271022568,-0.2721321728064826
2019-08-27 06:00:00,1,1,131,284,151,1576,-0.919276627145966,-0.8047013636817725,-0.9041707229778404,0.16095205955691388
2019-08-27 07:00:00,1,1,391,864,1239,2665,-0.725031812326978,-0.3716518586292154,-0.09091289698139315,0.9742794038869743
2019-08-27 08:00:00,1,1,948,1952,730,2156,-0.30889965134937664,0.4416452009507868,-0.47122936359902795,0.5940126087170954
2019-08-27 09:00:00,1,1,1025,1443,706,2132,-0.2513733023452917,0.061355630250929466,-0.48897175212334937,0.5763116014264873
2019-08-27 10:00:00,1,1,1158,1419,1184,2610,-0.1520096086109632,0.04363121254261203,-0.13232494174148052,0.933011005600928
2019-08-27 11:00:00,1,1,2001,1897,2380,3806,0.47779184866752505,0.40030234418213023,0.7611116562602335,1.8265088156991278
2019-08-27 12:00:00,1,1,3030,3093,2478,3904,1.246553058085751,1.2937688174970117,0.8343213085802519,1.8997828928906728
2019-08-27 13:00:00,1,1,3228,3191,1960,3387,1.3944779555248263,1.3670131421159675,0.44785032017489945,1.5133654394269724
2019-08-27 14:00:00,1,1,2696,2673,1940,3367,0.9970231805875124,0.9805702434284519,0.4328040208027346,1.498367146255323
2019-08-27 15:00:00,1,1,2777,2653,2299,3725,1.0575379113580432,0.965547011447626,0.7004742930968761,1.7660893753513178
2019-08-27 16:00:00,1,1,2860,3012,3209,4636,1.1195468330117972,1.2332420107740916,1.380980738558252,2.446653174432207
2019-08-27 17:00:00,1,1,3086,3923,2200,3626,1.2883904028159945,1.913776406352261,0.6266043131365553,1.692337265385651
2019-08-27 18:00:00,1,1,2442,2913,1260,2686,0.8072609384181932,1.1594314758580115,-0.07571025016838423,0.9900777729655612
2019-08-27 19:00:00,1,1,1281,1973,762,2189,-0.06011686929274959,0.4571452496848695,-0.44735749976170996,0.6184821767322398
2019-08-27 20:00:00,1,1,722,1475,398,1825,-0.4777432211535739,0.08552363862670355,-0.7192226223094604,0.3466695257402075
2019-08-27 21:00:00,1,1,449,1112,0,1318,-0.6817002767135114,-0.1863159899815937,-1.010422271022568,-0.03226494115978862
2019-08-27 22:00:00,1,1,252,604,0,938,-0.8288780787109754,-0.5652788228906301,-1.010422271022568,-0.3163203750597132
2019-08-27 23:00:00,1,1,131,224,0,711,-0.919276627145966,-0.8493626851410198,-1.010422271022568,-0.48529085697246577
2019-08-28 00:00:00,1,1,51,0,0,635,-0.9790442624748854,-1.010422271022568,-1.010422271022568,-0.5421402902043349
2019-08-28 01:00:00,1,1,35,0,0,592,-0.9909977895406693,-1.010422271022568,-1.010422271022568,-0.5747525025380078
